event_time,site_cam,session,path,modality,event_type,sensor_id,confidence,is_timelapse
2025-06-30 12:43:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630124301_0122.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:43:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630124301_0123.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:43:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630124302_0124.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:44:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124401_0127.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:44:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124401_0126.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:44:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124402_0128.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:45:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124501_0131.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:45:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124501_0130.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:45:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124502_0132.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:46:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630124601_0134.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:46:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124601_0135.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:46:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124602_0136.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:47:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124701_0138.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:47:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124701_0139.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:47:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124702_0140.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:48:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124801_0142.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:48:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124801_0143.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:48:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630124802_0144.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:48:22,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124822_0147.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:48:22,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124822_0146.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:48:23,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630124823_0148.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:49:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124901_0151.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:49:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124901_0150.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:49:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124902_0152.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:50:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630125001_0155.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:50:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125001_0154.JPG,camera,camera_image,TW01-CT02,,False
